petition_id,label_length,abstract_length,num_signatures
8527,11,53,3060
844,14,47,3059
3686,13,41,3045
4549,12,51,3038
12339,11,42,3034
5077,7,38,3033
417,12,44,3032
11996,12,53,3027
12064,13,57,3014
11129,9,46,3011
3895,10,40,3009
3318,11,42,3002
3142,13,48,2995
10745,12,46,2990
2120,11,45,2984
5750,12,37,2976
2976,12,52,2970
6689,11,49,2964
3890,11,48,2959
1442,10,50,2958
744,8,53,2957
7309,11,42,2957
1910,14,51,2955
760,6,51,2946
6103,12,44,2946
1313,13,50,2945
6093,13,41,2942
8882,13,52,2935
1496,12,49,2924
7882,13,50,2924
1537,12,48,2923
4985,9,48,2922
5373,14,46,2902
4109,15,38,2901
5073,11,39,2896
9128,12,49,2881
1241,12,48,2878
8675,12,56,2877
3757,5,53,2872
1703,11,43,2870
3709,10,46,2869
12211,12,49,2869
2630,14,52,2868
832,7,42,2865
12167,13,58,2860
8305,9,51,2860
4342,11,34,2858
5753,14,25,2857
2173,13,50,2849
6517,10,39,2846
9952,4,50,2842
2378,14,46,2836
4068,8,49,2831
10726,15,48,2831
7903,9,47,2830
2745,12,46,2822
5537,10,45,2821
7351,9,48,2812
1987,13,47,2810
6253,14,58,2804
10504,13,49,2804
983,12,54,2802
12034,10,46,2798
6286,9,52,2788
2203,5,52,2786
5688,12,44,2784
4188,13,49,2778
11562,12,50,2777
8442,9,48,2774
9521,11,50,2771
4681,13,25,2760
480,12,59,2748
1732,10,51,2746
8968,11,48,2736
9831,12,41,2726
6111,14,49,2721
6600,15,40,2718
3776,4,55,2713
12081,13,50,2712
6264,12,47,2709
5470,13,52,2706
3185,10,56,2706
7841,10,33,2694
10892,11,43,2692
2238,11,48,2690
11443,12,61,2685
11516,11,48,2683
12278,8,22,2672
1883,14,46,2670
11604,15,48,2664
1893,12,47,2659
1327,13,49,2652
8057,6,54,2649
1573,11,43,2636
2473,15,53,2635
1199,9,48,2632
11763,9,39,2628
8216,3,40,2628
8540,13,53,2625
11531,12,44,2621
5173,9,50,2617
613,12,54,2614
11700,13,53,2614
1118,12,48,2613
5037,11,55,2613
1063,10,44,2609
8102,5,35,2602
6815,13,47,2599
11432,15,57,2599
12009,13,48,2588
8481,11,47,2585
7145,10,39,2581
2294,10,44,2578
9019,14,33,2576
3134,9,33,2574
3703,10,51,2564
6386,13,49,2564
6449,6,51,2562
8131,13,47,2562
9728,12,46,2554
12137,9,50,2549
5877,16,16,2540
11660,14,56,2538
4590,10,44,2536
3531,9,53,2535
1505,11,47,2532
9637,6,38,2527
2181,6,53,2525
1691,7,36,2523
9479,12,51,2521
8616,13,51,2509
3574,13,49,2509
1924,8,46,2506
4216,12,44,2505
11164,11,49,2502
3567,14,55,2501
3515,12,49,2496
4556,6,47,2493
11789,11,52,2492
6318,11,38,2485
4108,9,10,2484
6756,9,51,2477
2528,13,40,2473
8603,8,41,2471
9308,14,59,2470
5960,12,39,2468
7412,9,51,2467
4028,9,28,2466
3482,12,51,2462
7315,13,48,2460
12302,8,45,2460
5629,10,50,2456
1518,4,45,2452
1125,11,52,2451
10015,9,52,2445
8659,15,48,2441
2849,14,42,2437
694,11,47,2435
